,159816,513400,513110,513500,VIG,159934,515450,HK0005
2020-11-06,0.22279835935750436,0.0,0.19300996482369903,0.0,0.0,0.0,0.4008873741597752,0.18330430165902142
2020-11-13,0.22279835935750436,0.0,0.19300996482369903,0.0,0.0,0.0,0.4008873741597752,0.18330430165902142
2020-11-20,0.25381956018651164,0.0,0.0,0.0,0.24784770847540777,0.0,0.36799214334400826,0.13034058799407236
2020-11-27,0.0,0.0,0.0,0.0,0.4107245822032937,0.0,0.4357815456694298,0.1595133379941884
2020-12-04,0.0,0.0,0.4814693076460503,0.0,0.0,0.0,0.4570389576529586,0.1788835047543918
2020-12-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-18,0.23836376801513037,0.0,0.5,0.0,0.0,0.0,0.0,0.2616362319848696
2020-12-25,0.07237025478581804,0.0,0.5,0.0,0.0,0.427629745214182,0.0,0.0
2020-12-31,0.08573279415466684,0.5,0.0,0.0,0.0,0.41426720584533316,0.0,0.0
2021-01-08,0.0,0.0,0.524728798746303,0.0,0.0,0.7011502238190176,0.0,0.27412097743467934
2021-01-15,0.0,0.0,0.44223739293967823,0.0,0.0,0.0,0.3069726819805173,0.25078992507980447
2021-01-22,0.06663230047714253,0.0,0.3558663974770769,0.0,0.0,0.0,0.3678288813702839,0.20967242067549677
2021-01-29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
