factor,admitted,direction,ic_mean,icir,ic_tstat,hit_rate_adj,ic_mean_daily,subperiod_sign_ratio,half_sample_sign_match,rolling_icir_pos_ratio,q_monotonicity,q_spread,ls_sharpe,ls_cagr,ls_max_drawdown,avg_turnover,n,n_fail,reject_summary
alpha015,True,1,0.0071017946108478,0.1314639397318686,2.948428738711802,0.5387673956262425,0.0049033889325802,0.8181818181818182,True,0.6916666666666667,0.75,0.0008173617466222,0.0683005842121424,0.0021191924432462,-0.1223749006042439,1.5060172085896606,503.0,0,
alpha_vol20,True,-1,-0.0161610346548147,-0.0705460851606102,-1.579035090134328,0.5289421157684631,-0.0149760857620316,0.7272727272727273,True,0.6882845188284519,1.0,0.0034311007624088,0.7834030366882849,0.1505347276284669,-0.3234769542928898,0.4515964120373188,501.0,0,
alpha016,False,1,0.0048728468776502,0.0827748240979339,1.8564457349287875,0.5526838966202783,0.0059195086480158,0.8181818181818182,True,0.6270833333333333,0.5,0.000396213547891,-0.3114230103687471,-0.0177423101377196,-0.2858860314183379,1.4470902788803892,503.0,3,min_abs_ic: value=0.004872846877650275 vs 0.005 (有效性：|IC均值| 下限); min_ls_sharpe: value=-0.31142301036874714 vs 0.0 (多空：净夏普下限（含成本）)
alpha002,False,1,0.0049294083532753,0.0797408137500479,1.7883999778831583,0.5228628230616302,0.0050013104934536,0.7272727272727273,True,0.6229166666666667,0.5,0.0002839400693316,-0.4316734665335677,-0.0241167868822956,-0.2949010101961266,1.4801411307564758,503.0,4,min_abs_ic: value=0.004929408353275341 vs 0.005 (有效性：|IC均值| 下限); min_abs_q_spread: value=0.0002839400693316167 vs 0.0003 (分层：|Top-Bottom 月均价差| 下限)
alpha019,False,1,0.0107217233046499,0.0710591877024484,1.5535820219780492,0.5292887029288703,0.0134225054847455,0.6,False,0.6307692307692307,0.75,0.0007248617980363,0.0686101433707721,0.0009037078157294,-0.456258434114356,1.11562334773284,478.0,1,half_sample_sign_match: value=False vs True (稳定性：前后半样本 IC 必须同号)
alpha012,False,1,0.005527095320603,0.0692397378254575,1.552885401744591,0.5248508946322068,0.004207312241268,0.7272727272727273,True,0.6645833333333333,0.75,0.0003954874483063,-0.2350723065008856,-0.0177919081890488,-0.1937705640467133,1.414207681836526,503.0,2,min_ls_sharpe: value=-0.23507230650088565 vs 0.0 (多空：净夏普下限（含成本）); min_ls_cagr: value=-0.017791908189048855 vs -0.01 (多空：年化收益下限)
alpha026,False,1,0.0057770873479044,0.0664221473721808,1.489693436835395,0.5387673956262425,0.0086103425584765,0.6363636363636364,True,0.71875,0.75,0.0001664584452018,-0.4064395680029558,-0.0317986330373647,-0.3425708778131742,1.5092737582073916,503.0,4,min_ic_tstat: value=1.4896934368353947 vs 1.5 (有效性：|IC t统计量| 下限); min_abs_q_spread: value=0.00016645844520184368 vs 0.0003 (分层：|Top-Bottom 月均价差| 下限)
alpha021,False,1,0.007285830542264,0.065665070314838,1.472713968869947,0.5188866799204771,0.0094197274935307,0.7272727272727273,True,0.5729166666666666,0.5,-0.0007801982817075,0.2155427274395483,0.0104105267342742,-0.150268561378346,1.093478627657619,503.0,1,min_ic_tstat: value=1.472713968869947 vs 1.5 (有效性：|IC t统计量| 下限)
alpha042,False,1,0.0077787625526636,0.0579968348187683,1.300733378923112,0.5248508946322068,0.0092606822172476,0.7272727272727273,True,0.6020833333333333,0.75,0.0022174778116541,0.7817691553872327,0.0868941294008709,-0.2247157004811607,0.8650348030767511,503.0,2,min_abs_icir: value=0.057996834818768335 vs 0.06 (有效性：|ICIR| 下限); min_ic_tstat: value=1.300733378923112 vs 1.5 (有效性：|IC t统计量| 下限)
alpha004,False,1,0.0082172296958317,0.0572890252396191,1.284858865281155,0.5069582504970179,0.0115344792843336,0.8181818181818182,True,0.6104166666666667,0.75,0.0173991221205789,0.1234207796467738,0.0075123213854331,-0.3088369763336064,1.1625502829854115,503.0,3,min_abs_icir: value=0.05728902523961916 vs 0.06 (有效性：|ICIR| 下限); min_ic_tstat: value=1.284858865281155 vs 1.5 (有效性：|IC t统计量| 下限)
alpha005,False,1,0.0073434335144846,0.0532790215440742,1.194923859815781,0.4910536779324055,0.0109523061081169,0.6363636363636364,False,0.60625,0.75,0.0009557740325043,0.1331611300207727,0.0087960563608304,-0.3648167708598594,1.31095300567359,503.0,4,min_abs_icir: value=0.05327902154407422 vs 0.06 (有效性：|ICIR| 下限); min_ic_tstat: value=1.194923859815781 vs 1.5 (有效性：|IC t统计量| 下限)
alpha038,False,1,0.0074397866918734,0.0489813523717821,1.0985371904149868,0.5188866799204771,0.0114087067503179,0.6363636363636364,True,0.575,0.75,0.000900950164663,0.0592353545361639,-0.0007456919235347,-0.4279954878687573,1.4923918979970356,503.0,2,min_abs_icir: value=0.048981352371782194 vs 0.06 (有效性：|ICIR| 下限); min_ic_tstat: value=1.0985371904149868 vs 1.5 (有效性：|IC t统计量| 下限)
alpha053,False,1,0.0047265135754569,0.0387955474060414,0.8692280703384309,0.5219123505976095,0.0028313796802187,0.5454545454545454,True,0.6033402922755741,0.5,0.0005324189239284,-0.1393160256743173,-0.0179707375199539,-0.3614777692350518,1.5994062936406783,502.0,6,min_abs_ic: value=0.00472651357545697 vs 0.005 (有效性：|IC均值| 下限); min_abs_icir: value=0.038795547406041415 vs 0.06 (有效性：|ICIR| 下限)
alpha013,False,1,0.0021248456251823,0.0339157209990437,0.7606503098238662,0.5029821073558648,0.0038222018972225,0.5454545454545454,True,0.54375,0.75,0.0001943122057279,-0.4918637468524147,-0.0278046754592329,-0.3126123708232748,1.448707314617508,503.0,8,min_abs_ic: value=0.0021248456251823557 vs 0.005 (有效性：|IC均值| 下限); min_abs_icir: value=0.03391572099904375 vs 0.06 (有效性：|ICIR| 下限)
alpha024,False,1,0.0045409483231347,0.0269805297638243,0.5996722431881317,0.48582995951417,0.002557025188175,0.4545454545454545,True,0.5329087048832272,1.0,0.0014341605508044,0.2555900167321052,0.0262931839266109,-0.3311763144137893,0.7126997571086859,494.0,5,min_abs_ic: value=0.004540948323134764 vs 0.005 (有效性：|IC均值| 下限); min_abs_icir: value=0.026980529763824337 vs 0.06 (有效性：|ICIR| 下限)
alpha011,False,1,0.0024214571956514,0.0262060241954712,0.5877398397073438,0.5009940357852882,0.0014638588461642,0.6363636363636364,True,0.5895833333333333,0.5,0.0005308326603095,-0.1498009940105689,-0.0148455477559402,-0.2480930566485087,1.5315076078688177,503.0,6,min_abs_ic: value=0.0024214571956514505 vs 0.005 (有效性：|IC均值| 下限); min_abs_icir: value=0.02620602419547129 vs 0.06 (有效性：|ICIR| 下限)
alpha017,False,1,0.0033432011850219,0.0259023771734175,0.5797736668392464,0.5089820359281437,0.0071098633487732,0.5454545454545454,False,0.5418410041841004,0.5,9.063355619607932e-05,-0.308299434355377,-0.0386824904029811,-0.4377122100171929,1.5122197565331177,501.0,9,min_abs_ic: value=0.0033432011850219826 vs 0.005 (有效性：|IC均值| 下限); min_abs_icir: value=0.025902377173417552 vs 0.06 (有效性：|ICIR| 下限)
alpha003,False,1,0.0015791246936948,0.0252556540141369,0.5664252589882813,0.5029821073558648,0.0036799318129632,0.6363636363636364,True,0.5416666666666666,0.5,0.00031942413308,-0.3162042405137009,-0.0199136230404157,-0.2271324147240744,1.3698031102264243,503.0,6,min_abs_ic: value=0.0015791246936948198 vs 0.005 (有效性：|IC均值| 下限); min_abs_icir: value=0.02525565401413696 vs 0.06 (有效性：|ICIR| 下限)
alpha033,False,1,0.0037840631996738,0.024744049289734,0.5549511614116629,0.5228628230616302,0.0057563297831929,0.4545454545454545,False,0.5979166666666667,0.75,5.207553820840878e-06,-0.2925503688641582,-0.0467101890180032,-0.5573976155278078,1.5552799941725048,503.0,8,min_abs_ic: value=0.003784063199673874 vs 0.005 (有效性：|IC均值| 下限); min_abs_icir: value=0.024744049289734095 vs 0.06 (有效性：|ICIR| 下限)
alpha040,False,1,0.0022769388982532,0.0231835255914504,0.5199522641563049,0.5129224652087475,0.0066131479216343,0.5454545454545454,False,0.5666666666666667,0.5,1.6605825580907722e-05,-0.3583733349888925,-0.0338622396376133,-0.400648049953208,1.253521921987985,503.0,8,min_abs_ic: value=0.0022769388982532427 vs 0.005 (有效性：|IC均值| 下限); min_abs_icir: value=0.02318352559145048 vs 0.06 (有效性：|ICIR| 下限)
alpha055,False,1,0.0012829687617082,0.0222340655485789,0.4981621651138201,0.50199203187251,0.0021141046912649,0.6363636363636364,False,0.4697286012526096,0.5,0.0001669776897282,-0.6158253641094554,-0.0309493613499923,-0.3170105462650054,1.5332469553127814,502.0,9,min_abs_ic: value=0.0012829687617082074 vs 0.005 (有效性：|IC均值| 下限); min_abs_icir: value=0.02223406554857892 vs 0.06 (有效性：|ICIR| 下限)
alpha007,False,1,0.0013776336662915,0.0173886631168523,0.3856992061902118,0.5121951219512195,0.0035343681083963,0.5454545454545454,False,0.5010660980810234,0.75,0.0065942963999988,-0.1918846529298278,-0.0163420792563546,-0.2421545336755109,1.1182726624666453,492.0,7,min_abs_ic: value=0.001377633666291502 vs 0.005 (有效性：|IC均值| 下限); min_abs_icir: value=0.017388663116852346 vs 0.06 (有效性：|ICIR| 下限)
alpha020,False,1,0.0022388987148821,0.0155668077890247,0.3491270956033668,0.4930417495029821,0.0047128771031032,0.5454545454545454,True,0.5854166666666667,0.75,0.000829906771337,0.0329802851472351,-0.0025966860894878,-0.3360072422093122,1.512154931643739,503.0,5,min_abs_ic: value=0.0022388987148821357 vs 0.005 (有效性：|IC均值| 下限); min_abs_icir: value=0.015566807789024771 vs 0.06 (有效性：|ICIR| 下限)
alpha018,False,1,0.0013123519867885,0.0097894200041554,0.2195537980562679,0.5029821073558648,0.0043130951621447,0.5454545454545454,True,0.5229166666666667,0.75,0.0001861036219831,-0.2297581143928868,-0.03121592425596,-0.4649044590875597,1.3855609883020006,503.0,8,min_abs_ic: value=0.0013123519867885992 vs 0.005 (有效性：|IC均值| 下限); min_abs_icir: value=0.009789420004155428 vs 0.06 (有效性：|ICIR| 下限)
alpha_rev1,False,1,0.0015795994451214,0.0095858173174493,0.2149874659199607,0.4970178926441352,0.007134970386011,0.3636363636363636,False,0.50625,0.5,-0.0003216066468138,-0.3897307880558074,-0.063599109040351,-0.50840430503917,1.5584964358412778,503.0,8,min_abs_ic: value=0.0015795994451214474 vs 0.005 (有效性：|IC均值| 下限); min_abs_icir: value=0.00958581731744933 vs 0.06 (有效性：|ICIR| 下限)
